duration_conf,init_conf,jours_confinement,nbIr,nbR,nbS,nb_confinement,pic_max,relesae_conf,seed
47.58308424290599,1.0,36.0,0.0,163.0,37.0,3.0,93.0,18.718248888149137,-195088094
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,161.0,78.9577344931035,303168834
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,164.0,78.9577344931035,354138850
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,174.0,78.9577344931035,-2143203756
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,159.0,78.9577344931035,1051035674
10.0,75.59647178398126,5.0,0.0,200.0,0.0,2.0,154.0,78.9577344931035,1270839588
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,173.0,78.9577344931035,1948354263
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,176.0,78.9577344931035,1648266858
10.0,75.59647178398126,5.0,0.0,199.0,1.0,2.0,141.0,78.9577344931035,1378943627
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,163.0,78.9577344931035,-1048751910
10.0,75.59647178398126,4.25,0.0,198.0,2.0,2.0,152.0,78.9577344931035,2129919068
47.58308424290599,1.0,48.0,0.0,170.0,30.0,4.0,65.0,18.718248888149137,-263082209
47.58308424290599,1.0,48.0,0.0,138.0,62.0,4.0,78.0,18.718248888149137,-237902401
47.58308424290599,1.0,47.5,0.0,130.0,70.0,4.0,67.0,18.718248888149137,1837621494
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,155.0,78.9577344931035,-1608445554
10.0,75.59647178398126,5.0,0.0,200.0,0.0,2.0,168.0,78.9577344931035,-565371287
10.0,75.59647178398126,5.0,0.0,199.0,1.0,2.0,156.0,78.9577344931035,-118658283
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,152.0,78.9577344931035,-606082065
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,153.0,78.9577344931035,-1659758214
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,177.0,78.9577344931035,-944111955
47.58308424290599,1.0,72.0,0.0,150.0,50.0,6.0,51.0,18.718248888149137,531115191
47.58308424290599,1.0,45.5,0.0,138.0,62.0,4.0,75.0,18.718248888149137,866436448
47.58308424290599,1.0,48.0,0.0,145.0,55.0,4.0,51.0,18.718248888149137,1981742357
47.58308424290599,1.0,48.0,0.0,130.0,70.0,4.0,68.0,18.718248888149137,145780818
47.58308424290599,1.0,60.0,0.0,127.0,73.0,5.0,63.0,18.718248888149137,1971023793
47.58308424290599,1.0,47.25,0.0,143.0,57.0,4.0,75.0,18.718248888149137,1131549961
47.58308424290599,1.0,48.0,0.0,149.0,51.0,4.0,62.0,18.718248888149137,314820645
47.58308424290599,1.0,36.0,0.0,131.0,69.0,3.0,78.0,18.718248888149137,119494412
47.58308424290599,1.0,36.0,0.0,128.0,72.0,3.0,67.0,18.718248888149137,2044632722
47.58308424290599,1.0,72.0,0.0,158.0,42.0,6.0,65.0,18.718248888149137,-802790907
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,167.0,78.9577344931035,-1599369994
10.0,75.59647178398126,2.75,0.0,200.0,0.0,2.0,167.0,78.9577344931035,-237774729
10.0,75.59647178398126,2.5,0.0,198.0,2.0,1.0,166.0,78.9577344931035,1637729923
10.0,75.59647178398126,3.25,0.0,198.0,2.0,2.0,149.0,78.9577344931035,-774739305
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,168.0,78.9577344931035,774336844
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,167.0,78.9577344931035,691989448
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,172.0,78.9577344931035,1674705131
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,159.0,78.9577344931035,-1157667129
10.0,75.59647178398126,2.5,0.0,197.0,3.0,1.0,153.0,78.9577344931035,-1990426836
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,171.0,78.9577344931035,-543309734
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,161.0,78.9577344931035,1061381152
47.58308424290599,1.0,48.0,0.0,146.0,54.0,4.0,78.0,18.718248888149137,-138592969
10.0,75.59647178398126,5.0,0.0,200.0,0.0,2.0,151.0,78.9577344931035,905817440
10.0,75.59647178398126,5.0,0.0,199.0,1.0,2.0,126.0,78.9577344931035,655225646
10.0,75.59647178398126,5.0,0.0,200.0,0.0,2.0,156.0,78.9577344931035,1504622622
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,179.0,78.9577344931035,84560827
10.0,75.59647178398126,2.5,0.0,198.0,2.0,1.0,161.0,78.9577344931035,-1201115936
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,165.0,78.9577344931035,-939579841
10.0,75.59647178398126,5.0,0.0,199.0,1.0,2.0,146.0,78.9577344931035,1769760615
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,147.0,78.9577344931035,-1497066507
47.58308424290599,1.0,36.0,0.0,159.0,41.0,3.0,94.0,18.718248888149137,-1114423555
10.0,75.59647178398126,4.25,0.0,198.0,2.0,2.0,150.0,78.9577344931035,238003541
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,150.0,78.9577344931035,-871075230
10.0,75.59647178398126,5.0,0.0,200.0,0.0,2.0,151.0,78.9577344931035,1460433502
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,158.0,78.9577344931035,1774389646
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,164.0,78.9577344931035,1772861578
47.58308424290599,1.0,47.25,0.0,156.0,44.0,4.0,84.0,18.718248888149137,-809581766
47.58308424290599,1.0,48.0,0.0,163.0,37.0,4.0,111.0,18.718248888149137,582215809
47.58308424290599,1.0,96.0,0.0,158.0,42.0,8.0,54.0,18.718248888149137,805994089
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,173.0,78.9577344931035,6845826
10.0,75.59647178398126,5.0,0.0,198.0,2.0,2.0,144.0,78.9577344931035,-1528538343
10.0,75.59647178398126,2.75,0.0,199.0,1.0,2.0,162.0,78.9577344931035,1195356673
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,167.0,78.9577344931035,-935001319
47.58308424290599,1.0,48.0,0.0,122.0,78.0,4.0,46.0,18.718248888149137,2136431534
10.0,75.59647178398126,5.0,0.0,197.0,3.0,2.0,138.0,78.9577344931035,397029109
47.58308424290599,1.0,60.0,0.0,156.0,44.0,5.0,66.0,18.718248888149137,-662015108
47.58308424290599,1.0,48.0,0.0,108.0,92.0,4.0,63.0,18.718248888149137,-1150121843
47.58308424290599,1.0,36.0,0.0,143.0,57.0,3.0,93.0,18.718248888149137,-1687495812
47.58308424290599,1.0,60.0,0.0,138.0,62.0,5.0,63.0,18.718248888149137,1938257679
47.58308424290599,1.0,48.0,0.0,129.0,71.0,4.0,78.0,18.718248888149137,1626290308
47.58308424290599,1.0,44.0,0.0,96.0,104.0,4.0,50.0,18.718248888149137,2141120625
47.58308424290599,1.0,36.0,0.0,134.0,66.0,3.0,68.0,18.718248888149137,1124524118
47.58308424290599,1.0,58.5,0.0,109.0,91.0,5.0,68.0,18.718248888149137,1840618204
47.58308424290599,1.0,60.0,0.0,172.0,28.0,5.0,80.0,18.718248888149137,1508796658
47.58308424290599,1.0,63.0,0.0,127.0,73.0,6.0,60.0,18.718248888149137,-954652668
47.58308424290599,1.0,60.0,0.0,153.0,47.0,5.0,62.0,18.718248888149137,1374258968
47.58308424290599,1.0,58.25,0.0,124.0,76.0,5.0,50.0,18.718248888149137,1695170953
47.58308424290599,1.0,36.0,0.0,144.0,56.0,3.0,84.0,18.718248888149137,1057597759
47.58308424290599,1.0,48.0,0.0,156.0,44.0,4.0,80.0,18.718248888149137,-1271755408
47.58308424290599,1.0,36.0,0.0,130.0,70.0,3.0,61.0,18.718248888149137,-1042956925
