evolution$generation,init_conf,duration_conf,relesae_conf,jours_confinement,pic_max,evolution$samples
2200,1.0,238.0,77.0,18.5,44.5,100
2200,1.0,238.0,65.83899916750605,18.125,44.0,100
2200,1.3420159270406966,238.0,25.171213284985885,18.125,46.0,100
2200,1.0,108.29082066594631,77.0,18.25,43.5,100
2200,1.0,190.91068266662697,63.76058108811492,16.75,44.0,100
2200,1.003014841808014,223.40551676975403,77.0,18.0,47.0,100
2200,1.0,137.47134979951923,77.0,17.125,46.5,100
2200,1.0,129.36156358780025,1.0,16.875,42.5,100
2200,1.0,81.26151885315186,77.0,17.0,44.0,100
2200,1.0,63.86315147708866,77.0,16.0,46.0,100
2200,1.392464576881487,133.28068930040152,24.809715870403323,16.625,44.0,100
2200,1.0,185.87742615849393,77.0,17.625,43.0,100
2200,1.0,152.84336041099513,59.11924715806967,19.125,43.0,100
2200,1.0,229.20057777369578,76.91021303878158,17.75,43.0,100
2200,1.0,120.92775701506885,56.63784855589603,16.75,42.0,100
2200,1.0,110.0603299455641,14.600638830576083,17.25,42.5,100
2200,1.7325886150766192,59.167587618933425,22.902974342806292,28.75,46.5,100
2200,1.0,195.3316597549812,77.0,16.5,44.0,100
2200,1.0,121.69510238735856,77.0,17.625,43.0,100
2200,1.0,109.85581804102317,57.11780119504308,17.0,43.0,100
2200,1.0,171.75044173933605,77.0,17.75,45.0,100
2200,1.0,110.59206397268466,77.0,18.5,44.0,100
2200,1.2599901667070634,89.05157216933443,77.0,16.625,48.5,100
2200,1.0,181.57520273987174,77.0,17.25,43.0,100
2200,1.0,122.91553732226998,35.48958477679397,16.375,44.0,100
2200,1.0,125.71525234396829,77.0,17.625,43.0,100
2200,1.7587961398496361,98.82191518420258,57.96981622715419,18.125,48.5,100
2200,2.7403538561211667,225.41512025001748,76.99999999999999,16.875,48.0,100
2200,1.194236413182729,205.4190161870882,13.941192665040798,17.125,46.0,100
2200,1.9452003238642954,106.82145436472655,43.315891598914085,18.125,45.0,100
2200,1.0,138.44626001008442,43.72418828259527,18.0,44.0,100
2200,2.6547784106472108,202.98734851793986,34.16898303660565,17.0,49.0,100
2200,1.0,99.7684795509831,77.0,17.0,42.5,100
2200,1.0,141.70058027238878,77.0,17.875,45.0,100
2200,2.176842895538951,80.47236985628426,55.25574228332303,18.75,50.0,100
2200,1.2237083841512053,217.9470529546718,21.735154219652657,17.875,47.0,100
2200,1.0,114.68661641582113,50.914806860003864,16.75,43.5,100
2200,1.0,230.7339487202458,74.29377642814647,17.375,43.5,100
2200,1.802068707395975,96.49257460023486,30.7726819866445,16.25,47.0,100
2200,2.062376930918536,134.6063136243478,64.30432548649654,17.25,49.5,100
2200,2.696489568818583,113.3959729658558,60.32028048984628,18.0,50.0,100
2200,1.0,198.6524117112843,77.0,17.25,43.0,100
2200,1.0,142.96306721398332,77.0,18.625,43.0,100
2200,1.0,169.9362931094933,77.0,17.5,43.0,100
2200,1.0,235.23054600239004,77.0,16.75,43.0,100
2200,2.8121549926439764,133.38229428132792,77.0,17.375,50.0,100
2200,1.0,67.44394387956235,77.0,16.75,48.0,100
2200,1.0,187.28870319680254,77.0,17.375,42.0,100
2200,1.0,221.47147803253694,77.0,17.875,44.0,100
2200,1.0,177.76706720154118,75.13403691764364,18.125,44.0,100
2200,1.0,165.79924943952975,76.16352889155421,16.25,44.0,100
2200,1.0,192.48638709758347,77.0,18.375,44.0,100
2200,1.0,120.30450168542195,1.0,18.125,43.0,100
2200,1.0,235.57003374372513,76.98725286214369,17.25,44.0,100
2200,1.0,185.85289654516467,34.42263497826596,17.25,45.0,100
2200,1.0,91.33913382586684,77.0,17.625,45.0,100
2200,1.0,138.57541189099283,4.300879968328365,16.75,46.0,100
2200,1.0,238.0,75.38062982401635,17.5,42.0,100
2200,1.0,65.14113769528376,76.99871060608332,16.25,48.0,100
2200,1.0,228.36584831090678,77.0,17.75,45.0,100
2200,1.2713336925940497,78.81667095959364,76.81520523844961,16.75,48.5,100
2200,1.0,119.88010726587416,76.88106168835057,16.25,43.0,100
2200,1.0,74.59867834929977,45.53694457694245,16.75,44.0,100
2200,1.0,176.21042203321718,77.0,16.75,42.0,100
2200,1.0,74.30528491019278,77.0,16.25,44.0,100
2200,1.1886233332899345,130.7868023647307,12.091381357935742,17.375,44.0,100
2200,1.7347191855460409,161.67195061998234,77.0,17.5,45.0,100
2200,1.0,206.78944013498725,77.0,18.5,44.0,100
2200,1.0543251440649364,96.07990216270726,77.0,19.5,47.0,100
2200,2.6806598424784625,116.0651157922928,60.50032589462428,18.75,48.5,100
2200,1.0,139.3269070088746,60.982476879950795,18.375,44.5,100
2200,1.3367949557170067,233.52322435145078,25.64958691175759,19.5,46.0,100
2200,1.437535454937451,151.5412844635377,18.835784871002463,17.75,45.0,100
2200,1.0,102.49667975748895,77.0,19.25,46.0,100
2200,1.0,208.9812826463115,76.99999910626957,18.625,44.0,100
2200,1.0,70.81726096608313,77.0,17.125,47.0,100
2200,1.0,155.11599484024782,63.9424885604741,17.625,43.0,100
2200,1.0,60.65931125484278,77.0,15.25,50.0,100
2200,1.0,56.780678332205206,48.31255364265595,28.25,46.0,100
2200,1.8908979643666242,208.00335771691329,16.46959389211296,18.25,46.0,100
2200,1.0,127.34583506741714,77.0,17.625,43.0,100
2200,2.370992369899014,59.928181781304154,25.114667371897152,15.0,50.0,100
2200,1.0,116.37027331612961,77.0,17.25,45.0,100
2200,1.0,156.68210455072887,16.225092385707917,19.0,43.5,100
2200,1.0,116.48198370580998,1.0,17.25,45.0,100
2200,1.0,211.16996492430928,76.99999999999999,19.25,44.0,100
2200,1.0,116.92477136505431,76.99999999999999,19.5,45.0,100
2200,1.0,83.77987691469447,76.99527925579123,17.875,44.0,100
2200,1.5177153727481096,220.32422724084697,41.85974037134949,17.75,47.5,100
