evolution$generation,initProportionOfRecovered,initProportionOfRecovered,finalProportionInfected,evolution$samples
20000,29.904764833105162,29.904764833105162,69.39999999999999,1
20000,53.00819689951134,53.00819689951134,46.800000000000004,8
20000,1.5080387615165183,1.5080387615165183,98.4,1
20000,20.680849829940566,20.680849829940566,79.2,1
20000,4.282518906985438,4.282518906985438,95.8,1
20000,52.75368507743279,52.75368507743279,46.6,1
20000,6.6348370638414105,6.6348370638414105,93.4,1
20000,17.69596091794575,17.69596091794575,82.19999999999999,1
20000,8.577182078438153,8.577182078438153,91.4,1
20000,48.677235895808394,48.677235895808394,49.6,1
20000,19.925036362290037,19.925036362290037,80.2,1
20000,27.143362743277123,27.143362743277123,73.0,3
20000,47.75699844103521,47.75699844103521,51.900000000000006,2
20000,7.815641669729671,7.815641669729671,92.0,1
20000,81.31387342789999,81.31387342789999,12.8,8
20000,35.276821061381405,35.276821061381405,64.4,1
20000,49.23077312856173,49.23077312856173,49.4,1
20000,23.451116206789433,23.451116206789433,76.6,3
20000,30.463633327109623,30.463633327109623,69.19999999999999,1
20000,27.26871256870741,27.26871256870741,72.6,5
20000,20.18852967218438,20.18852967218438,79.80000000000001,1
20000,47.94462024561505,47.94462024561505,50.8,1
20000,34.95559418727675,34.95559418727675,64.8,1
20000,10.197318119509047,10.197318119509047,89.8,1
20000,11.284242702126775,11.284242702126775,88.8,2
20000,32.67530499232748,32.67530499232748,66.60000000000001,1
20000,29.44522245176338,29.44522245176338,70.6,1
20000,11.690717281171747,11.690717281171747,88.4,1
20000,12.921680003251268,12.921680003251268,87.0,1
20000,4.463622421672643,4.463622421672643,95.5,2
20000,16.837449753063776,16.837449753063776,83.2,3
20000,26.566631057884816,26.566631057884816,73.5,2
20000,34.85933342536233,34.85933342536233,65.2,1
20000,18.873065285268815,18.873065285268815,81.2,3
20000,11.89325278036962,11.89325278036962,88.2,3
20000,8.290928912660634,8.290928912660634,91.7,2
20000,11.425064351304949,11.425064351304949,88.6,1
20000,7.090957205844467,7.090957205844467,93.0,1
20000,72.10355619623896,72.10355619623896,25.8,7
20000,17.823690822426503,17.823690822426503,82.0,1
20000,21.926468427880465,21.926468427880465,78.0,1
20000,15.520345675013846,15.520345675013846,84.6,1
20000,0.7781373730503801,0.7781373730503801,99.4,1
20000,35.27153547789223,35.27153547789223,64.7,2
20000,19.93008213942701,19.93008213942701,80.0,3
20000,13.230227441116838,13.230227441116838,86.2,1
20000,26.902359114358287,26.902359114358287,72.8,1
20000,26.725557780604515,26.725557780604515,73.4,1
20000,26.885801536648994,26.885801536648994,73.2,1
20000,24.138178903404366,24.138178903404366,76.0,14
20000,8.130565229783128,8.130565229783128,91.9,2
20000,12.708419588985176,12.708419588985176,87.2,1
20000,15.307745760059227,15.307745760059227,84.8,3
20000,48.87514967843206,48.87514967843206,51.0,8
20000,21.161803949730967,21.161803949730967,78.8,1
20000,1.2451222496723586,1.2451222496723586,98.8,3
20000,8.170152518205654,8.170152518205654,91.8,1
20000,0.8139973659160388,0.8139973659160388,99.2,1
