evolution$generation,strategy,numberDailyTestsPer10000,testingThreshold,totalTests,FPTests,nbUndetectedInfected,evolution$samples
13000,symptomatic,19,22,1617.5,0.0,8512.0,14
13000,symptomatic,17,19,1628.5,0.0,8512.5,32
13000,symptomatic,14,37,939.0,0.0,9135.5,8
13000,symptomatic,17,31,1266.0,0.0,8845.0,43
13000,symptomatic,10,37,721.0,0.0,9332.0,34
13000,symptomatic,17,37,1105.0,0.0,8992.0,22
13000,symptomatic,11,35,827.0,0.0,9232.0,19
13000,symptomatic,10,9,1054.5,0.0,9029.5,10
13000,symptomatic,46,0,1.0,0.0,-1.0,2
13000,symptomatic,17,42,0.0,0.0,9979.5,32
