run,immunised,duration,infected
7,0,431,99.9459483807036
3,0,479,99.9729741903518
9,0,487,99.9639655871357
4,0,515,99.9189225710554
5,0,518,99.9504526823116
6,0,524,99.9684698887438
10,0,447,99.9459483807036
2,0,498,99.9639655871357
8,0,522,99.9594612855277
1,0,560,99.9684698887438
12,0,504,99.9639655871357
11,0,544,99.9684698887438
16,0,456,99.9684698887438
18,0,499,99.9684698887438
14,0,525,99.9684698887438
19,0,508,99.9864870951759
15,0,584,99.9729741903518
13,0,571,99.9864870951759
17,0,548,99.9459483807036
20,0,535,99.9504526823116
21,0,471,99.9729741903518
23,0,465,99.9909913967839
24,0,424,99.9684698887438
26,0,418,99.9594612855277
22,0,547,99.9774784919598
32,0,22,0
25,0,500,99.9639655871357
28,0,479,99.9864870951759
27,0,567,99.9504526823116
29,0,480,99.9684698887438
31,0,465,99.9504526823116
33,0,435,99.9594612855277
34,0,422,99.9639655871357
37,0,477,99.9639655871357
36,0,464,99.9639655871357
35,0,476,99.9684698887438
30,0,562,99.9549569839197
39,0,480,99.9594612855277
38,0,573,99.9639655871357
41,0,567,99.9684698887438
43,0,525,99.9549569839197
46,0,475,99.9729741903518
42,0,557,99.9819827935679
48,0,452,99.9639655871357
45,0,556,99.9684698887438
44,0,575,99.9594612855277
49,0,427,99.9549569839197
40,0,612,99.9639655871357
47,0,536,99.9684698887438
50,0,532,99.9729741903518
56,0,443,99.9729741903518
54,0,480,99.9594612855277
52,0,509,99.9729741903518
51,0,545,99.9729741903518
57,0,493,99.9639655871357
55,0,600,99.9864870951759
53,0,552,99.9639655871357
58,0,507,99.9729741903518
61,0,468,99.9819827935679
64,0,373,99.9864870951759
62,0,457,99.9504526823116
59,0,616,99.9504526823116
65,0,470,99.9684698887438
60,0,611,99.9684698887438
63,0,563,99.9729741903518
66,0,368,99.9639655871357
67,0,506,99.9504526823116
69,0,436,99.9459483807036
68,0,556,99.9639655871357
70,0,482,99.9684698887438
71,0,509,99.9729741903518
75,0,415,99.9684698887438
72,0,425,99.9684698887438
74,0,482,99.9819827935679
73,0,553,99.9369397774875
76,0,595,99.9819827935679
78,0,472,99.9459483807036
77,0,555,99.9684698887438
81,0,506,99.9684698887438
82,0,506,99.9684698887438
79,0,506,99.9549569839197
84,0,475,99.9639655871357
80,0,628,99.9504526823116
83,0,514,99.9819827935679
85,0,510,99.9504526823116
86,0,583,99.9684698887438
87,0,550,99.9729741903518
88,0,642,99.9774784919598
90,0,510,99.9594612855277
93,0,428,99.9594612855277
89,0,543,99.9864870951759
92,0,539,99.9594612855277
91,0,533,99.9729741903518
94,0,486,99.9684698887438
95,0,486,99.9504526823116
96,0,497,99.9639655871357
97,0,518,99.9639655871357
98,0,384,99.9729741903518
100,0,445,99.9594612855277
99,0,526,99.9414440790955
103,5,416,99.9148924064587
101,5,560,99.9575647374822
102,5,593,99.9480819972547
105,5,548,99.9385992570273
106,5,501,99.9243751466861
104,5,558,99.9528233673685
109,5,482,99.9338578869136
108,5,581,99.9385992570273
107,5,590,99.9528233673685
112,5,461,99.9623061075959
110,5,557,99.9480819972547
111,5,521,99.9575647374822
113,5,525,99.943340627141
114,5,588,99.943340627141
115,5,557,99.9243751466861
118,5,495,99.9575647374822
116,5,507,99.9338578869136
120,5,490,99.9480819972547
117,5,578,99.9623061075959
119,5,627,99.9338578869136
121,5,695,99.9148924064587
123,5,655,99.943340627141
124,5,521,99.9623061075959
125,5,540,99.9243751466861
122,5,637,99.9623061075959
128,5,537,99.9385992570273
126,5,550,99.9196337765724
129,5,486,99.9148924064587
127,5,583,99.943340627141
130,5,607,99.9338578869136
131,5,542,99.9291165167999
137,5,393,99.9528233673685
132,5,542,99.9338578869136
133,5,558,99.9528233673685
136,5,543,99.9480819972547
138,5,480,99.9291165167999
135,5,507,99.9623061075959
134,5,646,99.9338578869136
141,5,477,99.9385992570273
143,5,514,99.9291165167999
140,5,627,99.9528233673685
142,5,608,99.9243751466861
145,5,556,99.9338578869136
144,5,604,99.9480819972547
146,5,613,99.9480819972547
139,5,678,99.9528233673685
148,5,561,99.9575647374822
150,5,435,99.9006682961175
147,5,664,99.943340627141
149,5,615,99.9480819972547
153,5,530,99.9385992570273
152,5,536,99.943340627141
151,5,618,99.9670474777096
154,5,597,99.943340627141
155,5,573,99.9575647374822
157,5,524,99.9528233673685
160,5,522,99.9575647374822
156,5,636,99.9291165167999
161,5,472,99.9528233673685
158,5,590,99.9243751466861
162,5,397,99.9528233673685
163,5,534,99.910151036345
159,5,606,99.943340627141
164,5,642,99.943340627141
165,5,609,99.9575647374822
167,5,492,99.9480819972547
166,5,606,99.943340627141
169,5,517,99.9338578869136
170,5,487,99.9575647374822
172,5,381,99.9385992570273
168,5,506,99.9623061075959
171,5,586,99.9291165167999
173,5,464,99.9385992570273
174,5,623,99.9338578869136
176,5,569,99.9338578869136
177,5,512,99.943340627141
179,5,412,99.9291165167999
175,5,662,99.9054096662313
178,5,529,99.943340627141
180,5,626,99.9623061075959
182,5,581,99.9291165167999
181,5,527,99.9338578869136
184,5,495,99.9243751466861
186,5,476,99.9528233673685
188,5,484,99.9385992570273
183,5,597,99.9291165167999
185,5,590,99.9528233673685
187,5,628,99.9670474777096
190,5,578,99.9480819972547
191,5,534,99.9338578869136
189,5,634,99.943340627141
192,5,530,99.9480819972547
194,5,586,99.9196337765724
197,5,508,99.8959269260038
195,5,513,99.910151036345
193,5,560,99.9338578869136
198,5,482,99.9385992570273
200,5,394,99.9291165167999
196,5,564,99.8959269260038
201,10,627,99.8753809888443
199,5,687,99.943340627141
204,10,575,99.9204240049247
203,10,597,99.8903953275378
205,10,569,99.8903953275378
206,10,602,99.8753809888443
202,10,562,99.8903953275378
207,10,551,99.8653714297154
208,10,609,99.8853905479733
209,10,514,99.8553618705864
211,10,642,99.8703762092799
213,10,497,99.8603666501509
214,10,441,99.9404431231826
210,10,631,99.9304335640537
212,10,594,99.9054096662313
217,10,522,99.9104144457957
215,10,677,99.8954001071023
216,10,601,99.9004048866668
218,10,628,99.9054096662313
223,10,546,99.8803857684088
221,10,567,99.9204240049247
220,10,597,99.8853905479733
219,10,657,99.8954001071023
222,10,610,99.8803857684088
224,10,668,99.9004048866668
226,10,498,99.8853905479733
225,10,646,99.9154192253602
229,10,484,99.9054096662313
227,10,511,99.8703762092799
228,10,640,99.8553618705864
233,10,519,99.9004048866668
234,10,554,99.840347531893
231,10,610,99.8954001071023
230,10,684,99.9204240049247
232,10,576,99.9104144457957
236,10,615,99.9154192253602
235,10,725,99.8803857684088
237,10,605,99.8954001071023
239,10,610,99.8753809888443
240,10,540,99.9354383436181
238,10,555,99.820328413635
241,10,584,99.9004048866668
242,10,605,99.8653714297154
243,10,613,99.9054096662313
244,10,556,99.8803857684088
248,10,462,99.9154192253602
245,10,712,99.9254287844892
246,10,624,99.9404431231826
247,10,569,99.8653714297154
249,10,466,99.8753809888443
251,10,523,99.8853905479733
252,10,623,99.9104144457957
253,10,572,99.9304335640537
250,10,580,99.9304335640537
258,10,507,99.9154192253602
255,10,572,99.9254287844892
254,10,463,99.8803857684088
260,10,446,99.8903953275378
256,10,631,99.8703762092799
259,10,645,99.8603666501509
257,10,611,99.8653714297154
261,10,526,99.8703762092799
262,10,467,99.9004048866668
265,10,537,99.9254287844892
267,10,595,99.9204240049247
268,10,562,99.9204240049247
264,10,671,99.9204240049247
263,10,671,99.9304335640537
269,10,577,99.8954001071023
266,10,592,99.8853905479733
270,10,661,99.9054096662313
271,10,603,99.9154192253602
272,10,705,99.8703762092799
274,10,576,99.8603666501509
275,10,599,99.840347531893
273,10,685,99.9404431231826
277,10,513,99.8653714297154
276,10,687,99.9404431231826
281,10,456,99.9004048866668
278,10,615,99.9004048866668
280,10,655,99.8603666501509
279,10,662,99.9004048866668
282,10,624,99.9204240049247
