infected, seed, immunised
0.0,-773618263,90.0
0.2702580964821405,-1551555948,90.0
0.0,-1293702717,90.0
0.0,-235516572,90.0
0.0,-1348766821,90.0
0.0,1861043429,90.0
0.0,-1241075727,90.0
0.0,1041239681,90.0
0.0,-1628437196,90.0
0.0,1575070828,90.0
0.0,-1499176889,90.0
0.0,-375376631,90.0
0.0,610875885,90.0
0.0,-1362935339,90.0
0.0,378257523,90.0
0.0,-10496571,90.0
0.0900860321607135,-618420403,90.0
0.0,805316562,90.0
0.0,-1065088176,90.0
0.04504301608035675,-325323864,90.0
0.0,-1508708397,90.0
0.0,-239395916,90.0
0.04504301608035675,-377550288,90.0
0.0,-2489795,90.0
0.0900860321607135,2127082718,90.0
0.0,239820993,90.0
0.0,34668853,90.0
0.0,595158199,90.0
0.04504301608035675,1360417952,90.0
0.0,1736660434,90.0
0.0,1674893268,90.0
0.04504301608035675,661357654,90.0
0.04504301608035675,-551294056,90.0
0.04504301608035675,-841664986,90.0
0.0,-145269642,90.0
0.13512904824107025,2072200518,90.0
0.04504301608035675,-264272623,90.0
0.0,-1478574284,90.0
0.0,49425674,90.0
0.0,-1522649201,90.0
0.0,152957469,90.0
0.0,287301123,90.0
0.0,-1107260696,90.0
0.0,1055537026,90.0
0.0,-358741255,90.0
0.0,1551141460,90.0
0.0,1376930039,90.0
0.0900860321607135,483743601,90.0
0.0900860321607135,-642657419,90.0
0.180172064321427,1588511904,90.0
0.0,936686242,90.0
0.0,724727665,90.0
0.180172064321427,1704347047,90.0
0.0,-929286936,90.0
0.0900860321607135,-459354715,90.0
0.0,-554338324,90.0
0.0,884476283,90.0
0.0,-460159242,90.0
0.04504301608035675,279789963,90.0
0.0,-573574011,90.0
0.0,-410585480,90.0
0.0,-1584873331,90.0
0.0,-1223657835,90.0
0.0,922343195,90.0
0.0,-116106745,90.0
0.13512904824107025,-1913452526,90.0
0.13512904824107025,-751518690,90.0
0.04504301608035675,-888205216,90.0
0.04504301608035675,1277656007,90.0
0.0,106502900,90.0
0.04504301608035675,-1767263306,90.0
0.0,1725361373,90.0
0.13512904824107025,1914980264,90.0
0.0,1207298976,90.0
0.0,606477540,90.0
0.0900860321607135,-1581612610,90.0
0.0,-235465502,90.0
0.0,-222506642,90.0
0.0,-1670783314,90.0
0.0,-129957826,90.0
0.13512904824107025,-1252751131,90.0
0.0,859923562,90.0
0.0,1137979834,90.0
0.0900860321607135,324204192,90.0
0.04504301608035675,-244647885,90.0
0.0,1768582270,90.0
0.0,1542999773,90.0
0.04504301608035675,638082726,90.0
0.0,1213430343,90.0
0.0,-1367839455,90.0
0.0,326431035,90.0
0.04504301608035675,-1022629940,90.0
0.0,1964285835,90.0
0.0,1419722482,90.0
0.0,1272911499,90.0
0.04504301608035675,-2140327674,90.0
0.4954731768839243,5165851,90.0
0.0,586794422,90.0
0.0,-1378758365,90.0
0.0,-1950599951,90.0
0.0,986877985,90.0
0.0900860321607135,-1505841821,90.0
0.22521508040178376,289644094,90.0
0.0,-1158023363,90.0
0.0,-877260513,90.0
0.0,-919776662,90.0
0.0,1369877686,90.0
0.0,-924351303,90.0
0.0,-1337614919,90.0
0.0,-2136231643,90.0
0.0,1788778711,90.0
0.0,-965461302,90.0
0.0900860321607135,-68150972,90.0
0.0,-1532154098,90.0
0.2702580964821405,6851405,90.0
0.04504301608035675,345710774,90.0
0.04504301608035675,-1765448254,90.0
0.0900860321607135,-21382094,90.0
0.0,-247735083,90.0
0.0900860321607135,-1937456938,90.0
0.0,-1078063772,90.0
0.0,-1094098703,90.0
0.0,-1134077649,90.0
0.0,1196144548,90.0
0.04504301608035675,87378831,90.0
0.0,368363589,90.0
0.04504301608035675,1906746298,90.0
0.0,1461254248,90.0
0.0900860321607135,301718944,90.0
0.04504301608035675,-782663749,90.0
0.0,-8287965,90.0
0.0,-2066050522,90.0
0.0,194061430,90.0
0.0,917125283,90.0
0.0,968805119,90.0
0.0,-551565390,90.0
0.04504301608035675,346788415,90.0
0.0,-1621970851,90.0
0.180172064321427,-1242303168,90.0
0.0900860321607135,-2035180858,90.0
0.180172064321427,-1531643065,90.0
0.0,335578281,90.0
0.0,-217277162,90.0
0.0,-1063631646,90.0
0.0,517020920,90.0
0.0,815716673,90.0
0.04504301608035675,1402244928,90.0
0.0,-203084077,90.0
0.0,-1766073372,90.0
0.0,-2124942046,90.0
0.0,477108567,90.0
0.04504301608035675,2129664244,90.0
0.0,1730187752,90.0
0.0,-1513846609,90.0
0.04504301608035675,1521537447,90.0
0.0,941897529,90.0
0.0,1492458817,90.0
0.0,898915231,90.0
0.04504301608035675,996804702,90.0
0.0,-218737824,90.0
0.0,1795136491,90.0
0.0,-1064182159,90.0
0.04504301608035675,-208628653,90.0
0.0900860321607135,1468751625,90.0
0.0,420032824,90.0
0.0,902979296,90.0
0.0,108790200,90.0
0.0900860321607135,-2057892811,90.0
0.0,-1799632439,90.0
0.0,-109121959,90.0
0.04504301608035675,-976097151,90.0
0.0,704916102,90.0
0.04504301608035675,-322268756,90.0
0.0,5118069,90.0
0.22521508040178376,-1053420378,90.0
0.04504301608035675,2038285894,90.0
0.0,-319183285,90.0
0.0,-1657820122,90.0
0.04504301608035675,1416352709,90.0
0.0,1502690918,90.0
0.0,1377178351,90.0
0.0,-1458629539,90.0
0.04504301608035675,-1504507948,90.0
0.0,132221295,90.0
0.0,1444238796,90.0
0.04504301608035675,-1670718969,90.0
0.0,293318918,90.0
0.0,1330761072,90.0
0.0,-1620622733,90.0
0.0,-767158983,90.0
0.0,1427580034,90.0
0.13512904824107025,-880365884,90.0
0.0,75070949,90.0
0.0,-1279651535,90.0
0.04504301608035675,83685520,90.0
0.0,-302382357,90.0
0.0,-949775022,90.0
0.22521508040178376,1211818881,90.0
0.0,-689079244,90.0
0.0,-407484190,90.0
0.0,1791040972,90.0
0.0,1052258341,90.0
0.0,452360338,90.0
0.0900860321607135,1950319264,90.0
0.0,1276813501,90.0
0.0,1097730167,90.0
