infected, seed, immunised
0.09008603216071338,-1681093562,95.0
0.0,687423868,95.0
0.0,-1873403114,95.0
0.09008603216071338,-604698333,95.0
0.0,1144833639,95.0
0.0,1059377174,95.0
0.0,2145949561,95.0
0.0,-958159289,95.0
0.18017206432142677,-1576752755,95.0
0.0,1690881306,95.0
0.09008603216071338,1626120025,95.0
0.0,582105495,95.0
0.27025809648214016,-1027664530,95.0
0.0,-1304294015,95.0
0.0,913089839,95.0
0.18017206432142677,-567111432,95.0
0.0,-503059677,95.0
0.0,1700931481,95.0
0.0,-586259027,95.0
0.0,136516783,95.0
0.0,-1363926139,95.0
0.0,-57362189,95.0
0.0,204586365,95.0
0.18017206432142677,66074340,95.0
0.09008603216071338,453164710,95.0
0.0,1657896583,95.0
0.0,1290589494,95.0
0.0,1351900339,95.0
0.09008603216071338,1554372774,95.0
0.0,-2026598797,95.0
0.0,-1496589098,95.0
0.0,-1641543004,95.0
0.18017206432142677,1202967802,95.0
0.09008603216071338,1947842856,95.0
0.0,818322160,95.0
0.09008603216071338,-122608649,95.0
0.0,-823204663,95.0
0.0,1566505062,95.0
0.09008603216071338,-477493080,95.0
0.0,-895558645,95.0
0.0,1886365685,95.0
0.0,1924843880,95.0
0.0,1624713801,95.0
0.0,470472736,95.0
0.0,352192724,95.0
0.0,-1221244550,95.0
0.0,-1043694394,95.0
0.0,-854645555,95.0
0.0,-840052076,95.0
0.0,1034394447,95.0
0.09008603216071338,-1610918717,95.0
0.0,-165477497,95.0
0.0,-69054669,95.0
0.09008603216071338,-1507684801,95.0
0.09008603216071338,-1124039312,95.0
0.09008603216071338,1735538942,95.0
0.09008603216071338,-424829394,95.0
0.0,-123009952,95.0
0.09008603216071338,-1595505460,95.0
0.0,2141862603,95.0
0.0,-421344035,95.0
0.0,-1392950352,95.0
0.0,905461140,95.0
0.0,-1281823665,95.0
0.0,524635022,95.0
0.0,-193307151,95.0
0.09008603216071338,-333019213,95.0
0.0,775234995,95.0
0.0,-2143304729,95.0
0.0,-2107863842,95.0
0.0,1431114292,95.0
0.0,-2078242629,95.0
0.09008603216071338,340190877,95.0
0.0,-82397648,95.0
0.0,135772154,95.0
0.0,1925737252,95.0
0.0,535481202,95.0
0.0,669375751,95.0
0.0,-522895477,95.0
0.0,-1185530068,95.0
0.0,-1387413564,95.0
0.0,-215325647,95.0
0.0,222720795,95.0
0.0,1190320315,95.0
0.0,2000310417,95.0
0.0,-1791203200,95.0
0.0,1239320428,95.0
0.09008603216071338,2068352011,95.0
0.0,-570576019,95.0
0.09008603216071338,-604069919,95.0
0.0,5278834,95.0
0.0,-679388889,95.0
0.09008603216071338,1040721168,95.0
0.0,-1730101388,95.0
0.0,175514100,95.0
0.0,1731793134,95.0
0.27025809648214016,-215036857,95.0
0.0,-1130072766,95.0
0.09008603216071338,224164105,95.0
0.09008603216071338,-2042218483,95.0
0.18017206432142677,1637454333,95.0
0.09008603216071338,-827576102,95.0
0.0,-1085389406,95.0
0.18017206432142677,1648231278,95.0
0.0,1642369370,95.0
0.0,-470213376,95.0
0.09008603216071338,-1511847115,95.0
0.0,1102942139,95.0
0.0,200381264,95.0
0.0,1109176020,95.0
0.0,694948193,95.0
0.0,-1125046305,95.0
0.0,-650428346,95.0
0.0,903013582,95.0
0.0,-125418079,95.0
0.0,987755650,95.0
0.0,-1587204871,95.0
0.0,1409740512,95.0
0.0,1209838038,95.0
0.0,1982740033,95.0
0.09008603216071338,-2001419209,95.0
0.09008603216071338,874464997,95.0
0.09008603216071338,889287491,95.0
0.09008603216071338,-1630008540,95.0
0.0,1216609146,95.0
0.0,-1014001114,95.0
0.18017206432142677,1594328854,95.0
0.09008603216071338,-1036164510,95.0
0.09008603216071338,-444444783,95.0
0.0,-2092114360,95.0
0.0,1309333911,95.0
0.0,-822670271,95.0
0.0,-288395741,95.0
0.0,1211532402,95.0
0.0,-1369056053,95.0
0.0,-792844839,95.0
0.0,386456827,95.0
0.0,1604333805,95.0
0.0,-1616468778,95.0
0.0,-1513788178,95.0
0.0,1833878270,95.0
0.0,1475599757,95.0
0.09008603216071338,555707784,95.0
0.0,-1728001961,95.0
0.0,2018751151,95.0
0.0,-1119912467,95.0
0.0,-538955250,95.0
0.0,1569857450,95.0
0.09008603216071338,335063768,95.0
0.0,1285611127,95.0
0.0,-1559487297,95.0
0.09008603216071338,-833315677,95.0
0.0,438450368,95.0
0.09008603216071338,-1923759758,95.0
0.0,-1895015922,95.0
0.0,-191861472,95.0
0.0,1846526862,95.0
0.09008603216071338,435407519,95.0
0.0,-1973877755,95.0
0.0,25958209,95.0
0.0,-1398763482,95.0
0.0,-1681542741,95.0
0.0,-827103222,95.0
0.0,178285517,95.0
0.0,1577610194,95.0
0.18017206432142677,-1762094079,95.0
0.0,250207310,95.0
0.09008603216071338,1438075561,95.0
0.0,-2125248075,95.0
0.0,-1258341881,95.0
0.0,1583548985,95.0
0.0,-2094446755,95.0
0.09008603216071338,1352416378,95.0
0.0,-316226134,95.0
0.0,1821715422,95.0
0.09008603216071338,-2074602530,95.0
0.0,-1818857763,95.0
0.09008603216071338,248172766,95.0
0.0,488463707,95.0
0.0,1856832866,95.0
0.0,-466455581,95.0
0.18017206432142677,1533320895,95.0
0.0,126961750,95.0
0.0,1470405154,95.0
0.09008603216071338,-1021866437,95.0
0.0,1240270802,95.0
0.0,-1933887934,95.0
0.0,-770678338,95.0
0.0,1725591994,95.0
0.0,361168023,95.0
0.0,-763476906,95.0
0.0,-1417664551,95.0
0.0,-1017203840,95.0
0.0,-2051352533,95.0
0.0,1500268175,95.0
0.09008603216071338,-1476961573,95.0
0.09008603216071338,-1632133236,95.0
0.0,-731397292,95.0
0.0,-378980841,95.0
0.09008603216071338,518428498,95.0
0.0,-1708746840,95.0
0.0,1849391527,95.0
0.0,-1970923637,95.0
0.18017206432142677,-938880324,95.0
0.09008603216071338,-327926466,95.0
0.0,-153077567,95.0
0.18017206432142677,1781424028,95.0
0.18017206432142677,-1320786087,95.0
0.0,-1010945722,95.0
0.0,1348894291,95.0
0.0,-1754407615,95.0
0.0,-1817125004,95.0
0.0,-973851263,95.0
0.0,1972916107,95.0
0.18017206432142677,1875774776,95.0
0.09008603216071338,-1511978929,95.0
0.0,-385444968,95.0
0.0,1661541734,95.0
0.0,-1863569602,95.0
0.0,1009901210,95.0
0.0,365317276,95.0
0.0,-1254750590,95.0
0.0,1925509569,95.0
0.0,890623659,95.0
0.0,-568391263,95.0
0.09008603216071338,-644914111,95.0
0.0,-1099768815,95.0
0.0,2052681456,95.0
0.09008603216071338,1910484411,95.0
0.0,-1699365304,95.0
0.0,-179272906,95.0
0.09008603216071338,-1813713496,95.0
0.0,-383682423,95.0
0.0,1527604623,95.0
0.0,542733631,95.0
0.0,-1059064643,95.0
0.0,1608383723,95.0
0.18017206432142677,-735710440,95.0
0.18017206432142677,-7650219,95.0
0.0,-1986286621,95.0
0.09008603216071338,-909195259,95.0
0.0,-1147758056,95.0
0.09008603216071338,1986826100,95.0
0.09008603216071338,-2035626824,95.0
0.0,1857473540,95.0
0.0,-365685565,95.0
0.0,353394286,95.0
0.0,1740565515,95.0
0.0,-290129729,95.0
0.09008603216071338,1894030265,95.0
0.09008603216071338,572621936,95.0
0.0,524761341,95.0
0.0,-218488614,95.0
0.27025809648214016,-1862675136,95.0
0.18017206432142677,1018765728,95.0
0.0,-1218155605,95.0
0.0,-1543643228,95.0
0.09008603216071338,154072757,95.0
0.0,1126114186,95.0
0.0,-1120541824,95.0
0.0,207575354,95.0
0.0,-1119562540,95.0
0.0,857579437,95.0
0.450430160803567,-618318409,95.0
0.09008603216071338,1239793508,95.0
0.0,394559625,95.0
0.0,-970499558,95.0
0.0,-1478943969,95.0
0.0,1944447726,95.0
0.0,726901994,95.0
0.0,-1850196745,95.0
0.0,-201579052,95.0
0.09008603216071338,-440711217,95.0
0.0,-238560681,95.0
0.0,832880838,95.0
0.0,1464450650,95.0
0.0,-1080762301,95.0
0.0,1429662877,95.0
0.0,-958561319,95.0
0.0,-81164162,95.0
0.0,1253337668,95.0
0.0,-1301250355,95.0
0.0,645091923,95.0
0.0,1765670486,95.0
0.09008603216071338,-1397716113,95.0
0.0,-890653506,95.0
0.0,1776672017,95.0
0.0,1191260080,95.0
0.09008603216071338,1025887454,95.0
0.09008603216071338,1747042970,95.0
0.0,-335272290,95.0
0.09008603216071338,-2081761449,95.0
0.0,2039696489,95.0
0.0,-435180336,95.0
0.09008603216071338,318326418,95.0
0.0,477510732,95.0
0.0,1579880285,95.0
0.0,1009893213,95.0
0.09008603216071338,-1470696966,95.0
0.18017206432142677,-592949007,95.0
0.0,-702140072,75.0
0.054051619296428086,1569128954,75.0
0.018017206432142698,613846791,75.0
0.16215485788928427,-807502809,75.0
0.0,-1705362753,75.0
0.054051619296428086,1410481710,75.0
0.10810323859285617,-1865575340,75.0
0.5585333993964237,1740964253,75.0
