"[run number]","SCENARIO","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","[step]","MaxI%","nb-non-S%","epidemic-duration-final"
"94","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"96","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"95","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"97","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"99","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"101","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"100","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"102","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"103","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"98","Laisser-faire","1","0.5","0.1","92","0.1","0.1","23"
"104","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"90","Laisser-faire","1","0.5","0.1","126","0.15","0.15","32"
"105","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"91","Laisser-faire","1","0.5","0.1","128","0.05","0.1","32"
"106","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"107","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"109","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"108","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"111","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"114","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"113","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"110","Laisser-faire","1","0.5","0.3","88","0.1","0.1","22"
"115","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"116","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"117","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"118","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"119","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"121","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"120","Laisser-faire","1","0.5","0.3","92","0.1","0.1","23"
"122","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"123","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"125","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"126","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"127","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"130","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"112","Laisser-faire","1","0.5","0.3","148","0.15","0.2","37"
"131","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"124","Laisser-faire","1","0.5","0.3","105","0.1","0.1","26"
"133","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"134","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"135","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"129","Laisser-faire","1","0.5","0.3","108","0.1","0.1","27"
"138","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"137","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"139","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"128","Laisser-faire","1","0.5","0.3","126","0.15","0.15","32"
"140","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"141","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"143","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"142","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"145","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"136","Laisser-faire","1","0.5","0.3","108","0.1","0.1","27"
"144","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"132","Laisser-faire","1","0.5","0.3","147","0.15","0.2","37"
"147","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"148","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"149","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"150","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"151","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"153","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"152","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"154","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"155","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"156","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"157","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"158","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"159","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"160","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"146","Laisser-faire","1","0.5","0.3","144","0.1","0.15","36"
"161","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"162","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"163","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"164","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"165","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"166","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"167","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"168","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"169","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"171","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"172","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"173","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"175","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"174","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"176","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"177","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"180","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"170","Laisser-faire","1","0.5","0.3","108","0.1","0.1","27"
"182","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"184","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"183","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
"185","Laisser-faire","1","0.5","0.3","72","0.05","0.05","18"
