"BehaviorSpace results (NetLogo 6.1.1)"
"CoVprehension_backtracking_V10VersionSite_180520.nlogo"
"Explo_V10_Scenario2"
"05/19/2020 10:06:53:371 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","Temps-d'attente-pour-la-réalisation-du-test","Probabilité-que-le-test-soit-efficace","Probabilité-de-respect-du-confinement","SCENARIO","[step]","MaxI%","nb-non-S%","epidemic-duration-final","Max-Conf%","total-population-locked%","population-tested%","total-nb-tests","total-nb-contagious","contagious-detected%","contagious-lockeddown%","proportion-non-contagious-lockeddown%","proportion-total-contagious-lockeddown-tracked","proportion-total-contagious-lockeddown-symptom"
"19","1","0.5","0.1","0","0.95","1","Confinement simple","181","0.1","0.15","45","0.3","0.3","0.05","1","3","33.33333333333333","100","62.5","0","100"
"43","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.25","0.25","0.05","1","1","100","100","80","0","100"
"33","1","0.5","0.1","0","0.95","1","Confinement simple","139","0.05","0.1","35","0.25","0.25","0.05","1","2","50","100","66.66666666666666","0","100"
"45","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"46","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","1","1","100","100","75","0","100"
"47","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.1","0.1","0.05","1","1","100","100","50","0","100"
"49","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.35000000000000003","0.35000000000000003","0.05","1","1","100","100","85.71428571428571","0","100"
"50","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","2","1","100","100","66.66666666666666","0","100"
"48","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.05","0.05","0.05","1","1","100","100","0","0","100"
"51","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"54","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"53","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.4","0.4","0.05","1","1","100","100","87.5","0","100"
"56","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.25","0.25","0.05","1","1","100","100","80","0","100"
"35","1","0.5","0.1","0","0.95","1","Confinement simple","182","0.1","0.15","46","0.15","0.15","0.05","1","3","33.33333333333333","100","40","0","100"
"44","1","0.5","0.1","0","0.95","1","Confinement simple","136","0.05","0.1","34","0.3","0.3","0.05","1","2","50","50","83.33333333333334","0","100"
"55","1","0.5","0.1","0","0.95","1","Confinement simple","99","0.1","0.1","25","0.2","0.2","0.05","1","2","50","100","60","0","100"
"58","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"60","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"57","1","0.5","0.1","0","0.95","1","Confinement simple","91","0.1","0.1","23","0.15","0.15","0.05","1","2","50","100","50","0","100"
"61","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.3","0.3","0.05","1","1","100","100","83.33333333333334","0","100"
"64","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","2","1","100","100","75","0","100"
"63","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.3","0.3","0.05","1","1","100","100","83.33333333333334","0","100"
"65","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.25","0.25","0.05","1","1","100","100","80","0","100"
"67","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"52","1","0.5","0.1","0","0.95","1","Confinement simple","143","0.1","0.15","36","0.2","0.2","0.05","1","3","33.33333333333333","100","50","0","100"
"68","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.1","0.1","0.05","1","1","100","100","50","0","100"
"59","1","0.5","0.1","0","0.95","1","Confinement simple","115","0.1","0.1","29","0.25","0.25","0.05","1","2","50","100","66.66666666666666","0","100"
"71","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"72","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.1","0.1","0.05","1","1","100","100","50","0","100"
"62","1","0.5","0.1","0","0.95","1","Confinement simple","120","0.2","0.2","30","0.3","0.3","0.05","1","4","25","100","55.55555555555556","0","100"
"73","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"74","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.1","0.1","0.05","1","1","100","100","50","0","100"
"75","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","1","1","100","100","75","0","100"
"76","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.25","0.25","0.05","1","1","100","100","80","0","100"
"77","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.25","0.25","0.05","1","1","100","100","80","0","100"
"78","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","2","1","100","100","66.66666666666666","0","100"
"79","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.1","0.1","0.05","1","1","100","100","50","0","100"
"66","1","0.5","0.1","0","0.95","1","Confinement simple","138","0.1","0.15","35","0.3","0.3","0.05","1","3","33.33333333333333","100","62.5","0","100"
"80","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"70","1","0.5","0.1","0","0.95","1","Confinement simple","130","0.1","0.15","33","0.25","0.25","0.05","1","3","33.33333333333333","100","57.14285714285714","0","100"
"82","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.1","0.1","0.05","1","1","100","100","50","0","100"
"83","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"84","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","2","1","100","100","66.66666666666666","0","100"
"86","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"89","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.3","0.3","0.05","1","1","100","100","83.33333333333334","0","100"
