"BehaviorSpace results (NetLogo 6.1.1)"
"CoVprehension_backtracking_V11VersionSite_250520.nlogo"
"Explo_V11_Scenario-1-2"
"05/26/2020 00:09:04:623 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","Temps-d'attente-pour-la-réalisation-du-test","Probabilité-que-le-test-soit-efficace","Probabilité-de-respect-du-confinement","fixed-seed?","SCENARIO","Repartition-initiale-des-malades","[step]","MaxI%","nb-non-S%","epidemic-duration-final","Max-Conf%","total-population-locked%"
"51","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","215","1.3","1.7500000000000002","54","0","0"
"58","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","154","1.4500000000000002","1.7999999999999998","39","0","0"
"62","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","120","1.15","1.15","30","0","0"
"55","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","208","0.95","1.3","52","0","0"
"63","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","140","1.05","1.0999999999999999","35","0","0"
"68","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","101","0.95","0.95","25","0","0"
"67","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","136","1.05","1.0999999999999999","34","0","0"
"65","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","180","1.05","1.4500000000000002","45","0","0"
"59","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","263","1.3","1.7500000000000002","66","0","0"
"60","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","241","1.55","2","60","0","0"
"69","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","142","1.35","1.4000000000000001","36","0","0"
"64","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","193","1.35","1.95","48","0","0"
"49","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","364","1.4000000000000001","2.9000000000000004","91","0","0"
"70","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","128","1.15","1.25","32","0","0"
"56","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","301","1.05","1.7500000000000002","75","0","0"
"66","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","184","1.35","2.0500000000000003","46","0","0"
"71","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","156","1.55","1.9","39","0","0"
"72","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","188","1.2","1.55","47","0","0"
"80","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","128","1.15","1.2","32","0","0"
"78","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","136","1.15","1.2","34","0","0"
"81","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","122","1.25","1.25","31","0","0"
"74","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","152","1.05","1.15","38","0","0"
"76","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","148","1.25","1.4000000000000001","37","0","0"
"61","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","328","1.25","3.15","82","0","0"
"75","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","164","1.2","1.25","41","0","0"
"79","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","188","1.05","1.2","47","0","0"
"82","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","181","1.15","1.35","45","0","0"
"77","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","208","1.6","1.7500000000000002","52","0","0"
"86","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","116","1","1","29","0","0"
"90","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","131","0.8999999999999999","0.95","33","0","0"
"84","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","229","0.95","1.3","57","0","0"
"92","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","140","1.0999999999999999","1.2","35","0","0"
"83","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","260","1.3","1.7999999999999998","65","0","0"
"91","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","164","1.15","1.4000000000000001","41","0","0"
